1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ11ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,
4,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆
558,"25201","400005","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿÇÃó¢ìå","ÇTíöñ⁄",354,2,2,-,-,22,52,7,9,14,57,9,2,9,15,11,34,48,3,18,32,10,201,1,1,-,-,20,41,7,6,13,22,4,1,5,8,5,17,10,2,13,21,5,153,1,1,-,-,2,11,-,3,1,35,5,1,4,7,6,17,38,1,5,11,5
559,"25201","400006","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿÇÃó¢ìå","ÇUíöñ⁄",276,1,1,-,-,13,35,1,8,10,34,10,10,10,15,4,31,47,-,10,32,5,157,1,1,-,-,12,20,1,8,7,23,5,7,7,1,1,22,12,-,6,22,2,119,-,-,-,-,1,15,-,-,3,11,5,3,3,14,3,9,35,-,4,10,3
560,"25201","400007","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿÇÃó¢ìå","ÇVíöñ⁄",449,2,2,-,-,31,56,8,12,16,71,13,8,24,26,15,37,60,5,22,30,13,258,1,1,-,-,25,49,6,11,14,28,7,4,18,12,7,20,11,3,13,24,5,191,1,1,-,-,6,7,2,1,2,43,6,4,6,14,8,17,49,2,9,6,8
561,"25201","400008","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿÇÃó¢ìå","ÇWíöñ⁄",382,2,2,-,-,52,39,3,9,24,38,7,5,12,30,17,21,71,-,20,16,16,205,2,2,-,-,43,26,2,6,23,14,4,2,10,15,5,12,9,-,10,13,9,177,-,-,-,-,9,13,1,3,1,24,3,3,2,15,12,9,62,-,10,3,7
562,"25201","4010","2","","","","é†âÍåß","ëÂí√és","írÇÃó¢","",772,1,1,-,-,37,138,12,22,25,97,31,15,43,36,19,73,103,3,41,43,33,448,1,1,-,-,32,113,12,17,21,45,13,11,27,13,6,41,22,1,23,35,15,324,-,-,-,-,5,25,-,5,4,52,18,4,16,23,13,32,81,2,18,8,18
563,"25201","4020","2","","","","é†âÍåß","ëÂí√és","í©ì˙","",494,2,2,-,-,24,78,5,7,13,86,20,8,24,21,22,52,62,4,36,21,9,285,2,2,-,-,21,60,4,7,13,40,7,8,16,6,11,25,20,1,22,17,5,209,-,-,-,-,3,18,1,-,-,46,13,-,8,15,11,27,42,3,14,4,4
564,"25201","402001","3","","","","é†âÍåß","ëÂí√és","í©ì˙","ÇPíöñ⁄",214,-,-,-,-,16,29,1,2,5,49,6,5,10,7,10,18,30,3,8,10,5,126,-,-,-,-,15,24,-,2,5,25,4,5,7,2,3,8,10,-,5,8,3,88,-,-,-,-,1,5,1,-,-,24,2,-,3,5,7,10,20,3,3,2,2
565,"25201","402002","3","","","","é†âÍåß","ëÂí√és","í©ì˙","ÇQíöñ⁄",280,2,2,-,-,8,49,4,5,8,37,14,3,14,14,12,34,32,1,28,11,4,159,2,2,-,-,6,36,4,5,8,15,3,3,9,4,8,17,10,1,17,9,2,121,-,-,-,-,2,13,-,-,-,22,11,-,5,10,4,17,22,-,11,2,2
566,"25201","4040","2","","","","é†âÍåß","ëÂí√és","åŒê¬","",437,3,3,-,-,17,57,1,15,9,54,16,14,26,21,15,48,64,1,26,35,15,250,3,3,-,-,13,43,1,10,7,26,9,8,17,10,9,19,23,1,16,30,5,187,-,-,-,-,4,14,-,5,2,28,7,6,9,11,6,29,41,-,10,5,10
567,"25201","404001","3","","","","é†âÍåß","ëÂí√és","åŒê¬","ÇPíöñ⁄",223,1,1,-,-,4,35,-,5,3,28,5,5,16,12,7,27,31,-,12,22,10,128,1,1,-,-,4,26,-,4,3,14,2,1,11,8,4,8,12,-,8,19,3,95,-,-,-,-,-,9,-,1,-,14,3,4,5,4,3,19,19,-,4,3,7
568,"25201","404002","3","","","","é†âÍåß","ëÂí√és","åŒê¬","ÇQíöñ⁄",214,2,2,-,-,13,22,1,10,6,26,11,9,10,9,8,21,33,1,14,13,5,122,2,2,-,-,9,17,1,6,4,12,7,7,6,2,5,11,11,1,8,11,2,92,-,-,-,-,4,5,-,4,2,14,4,2,4,7,3,10,22,-,6,2,3
569,"25201","4060","2","","","","é†âÍåß","ëÂí√és","êÖñæ","",737,6,4,-,-,46,108,5,15,30,112,24,15,34,39,35,58,115,8,44,18,25,411,5,3,-,-,43,75,5,11,28,46,12,10,22,18,17,29,31,4,32,14,9,326,1,1,-,-,3,33,-,4,2,66,12,5,12,21,18,29,84,4,12,4,16
570,"25201","406001","3","","","","é†âÍåß","ëÂí√és","êÖñæ","ÇPíöñ⁄",367,4,3,-,-,24,62,3,5,14,56,8,7,19,19,23,32,49,3,23,5,11,218,3,2,-,-,22,45,3,4,12,28,5,5,11,10,12,19,11,2,16,5,5,149,1,1,-,-,2,17,-,1,2,28,3,2,8,9,11,13,38,1,7,-,6
571,"25201","406002","3","","","","é†âÍåß","ëÂí√és","êÖñæ","ÇQíöñ⁄",370,2,1,-,-,22,46,2,10,16,56,16,8,15,20,12,26,66,5,21,13,14,193,2,1,-,-,21,30,2,7,16,18,7,5,11,8,5,10,20,2,16,9,4,177,-,-,-,-,1,16,-,3,-,38,9,3,4,12,7,16,46,3,5,4,10
572,"25201","4080","2","","","","é†âÍåß","ëÂí√és","è¨ñÏ","",268,2,2,5,-,31,38,1,4,8,40,6,6,5,3,11,12,45,1,20,8,22,141,2,2,3,-,24,26,1,4,5,12,4,5,3,1,4,7,10,-,14,6,10,127,-,-,2,-,7,12,-,-,3,28,2,1,2,2,7,5,35,1,6,2,12
573,"25201","4090","2","","","","é†âÍåß","ëÂí√és","òaÁéíÜ","",455,13,13,-,-,38,52,5,5,13,89,5,8,10,28,19,16,77,5,27,17,28,238,7,7,-,-,34,33,5,4,12,47,-,5,7,12,4,8,13,3,22,13,9,217,6,6,-,-,4,19,-,1,1,42,5,3,3,16,15,8,64,2,5,4,19
574,"25201","4100","2","","","","é†âÍåß","ëÂí√és","òaÁéç°èh","",414,5,5,-,-,26,47,3,5,15,84,8,3,8,36,19,27,57,3,31,11,26,220,4,4,-,-,23,27,2,5,11,37,3,1,6,18,12,12,10,2,22,7,18,194,1,1,-,-,3,20,1,-,4,47,5,2,2,18,7,15,47,1,9,4,8
575,"25201","4110","2","","","","é†âÍåß","ëÂí√és","òaÁéìÏïl","",286,5,5,1,-,24,32,2,3,10,56,6,3,6,36,7,17,29,2,18,7,22,150,5,5,1,-,23,24,2,3,8,22,1,2,4,13,1,7,7,2,11,5,9,136,-,-,-,-,1,8,-,-,2,34,5,1,2,23,6,10,22,-,7,2,13
576,"25201","4120","2","","","","é†âÍåß","ëÂí√és","òaÁéíÜïl","",280,6,5,-,-,16,28,-,2,6,31,10,5,11,24,16,21,61,3,13,12,15,145,5,4,-,-,12,21,-,1,5,12,5,4,4,9,9,7,22,2,10,8,9,135,1,1,-,-,4,7,-,1,1,19,5,1,7,15,7,14,39,1,3,4,6
577,"25201","4130","2","","","","é†âÍåß","ëÂí√és","òaÁéñkïl","",626,13,13,-,-,47,96,3,10,22,103,9,8,25,37,34,33,86,4,37,28,31,355,9,9,-,-,40,62,3,6,20,48,5,6,16,15,15,18,22,4,24,22,20,271,4,4,-,-,7,34,-,4,2,55,4,2,9,22,19,15,64,-,13,6,11
578,"25201","4140","2","","","","é†âÍåß","ëÂí√és","òaÁéçÇèÈ","",888,9,9,-,-,45,137,5,24,36,135,23,12,48,49,25,76,146,6,46,36,30,483,5,5,-,-,39,95,5,16,33,59,12,7,35,18,10,33,38,6,33,28,11,405,4,4,-,-,6,42,-,8,3,76,11,5,13,31,15,43,108,-,13,8,19
579,"25201","414001","3","","","","é†âÍåß","ëÂí√és","òaÁéçÇèÈ","",223,8,8,-,-,16,32,-,7,13,44,5,3,4,10,7,13,41,-,7,9,4,122,4,4,-,-,11,22,-,4,11,18,3,2,3,3,5,6,14,-,6,7,3,101,4,4,-,-,5,10,-,3,2,26,2,1,1,7,2,7,27,-,1,2,1
580,"25201","414002","3","","","","é†âÍåß","ëÂí√és","òaÁéçÇèÈ","",329,-,-,-,-,14,54,4,5,12,46,10,3,24,21,8,23,52,3,18,18,14,178,-,-,-,-,13,39,4,3,12,19,5,3,17,7,2,11,11,3,12,13,4,151,-,-,-,-,1,15,-,2,-,27,5,-,7,14,6,12,41,-,6,5,10
581,"25201","414003","3","","","","é†âÍåß","ëÂí√és","òaÁéçÇèÈ","",336,1,1,-,-,15,51,1,12,11,45,8,6,20,18,10,40,53,3,21,9,12,183,1,1,-,-,15,34,1,9,10,22,4,2,15,8,3,16,13,3,15,8,4,153,-,-,-,-,-,17,-,3,1,23,4,4,5,10,7,24,40,-,6,1,8
582,"25201","4170","2","","","","é†âÍåß","ëÂí√és","åIå¥","",121,9,9,-,-,14,15,2,-,10,11,-,4,2,10,5,4,12,2,10,5,6,73,8,8,-,-,12,11,2,-,7,1,-,3,1,6,1,-,4,2,6,4,5,48,1,1,-,-,2,4,-,-,3,10,-,1,1,4,4,4,8,-,4,1,1
583,"25201","4180","2","","","","é†âÍåß","ëÂí√és","ìÏëDòH","",99,5,5,-,-,6,19,1,5,1,9,2,4,1,3,5,11,9,2,8,3,5,57,5,5,-,-,6,15,1,3,1,4,1,2,-,1,2,4,2,2,4,2,2,42,-,-,-,-,-,4,-,2,-,5,1,2,1,2,3,7,7,-,4,1,3
584,"25201","4190","2","","","","é†âÍåß","ëÂí√és","î™âÆåÀ","",551,32,31,-,-,42,70,1,7,17,100,7,8,22,27,26,51,61,7,31,26,16,307,23,22,-,-,33,49,1,6,11,47,3,6,17,12,10,21,15,5,22,20,6,244,9,9,-,-,9,21,-,1,6,53,4,2,5,15,16,30,46,2,9,6,10
585,"25201","419001","3","","","","é†âÍåß","ëÂí√és","î™âÆåÀ","",227,19,19,-,-,17,25,1,3,7,37,3,3,8,11,10,22,25,2,12,14,8,131,13,13,-,-,14,19,1,3,3,20,-,2,6,6,3,9,10,2,7,11,2,96,6,6,-,-,3,6,-,-,4,17,3,1,2,5,7,13,15,-,5,3,6
586,"25201","419002","3","","","","é†âÍåß","ëÂí√és","î™âÆåÀ","",324,13,12,-,-,25,45,-,4,10,63,4,5,14,16,16,29,36,5,19,12,8,176,10,9,-,-,19,30,-,3,8,27,3,4,11,6,7,12,5,3,15,9,4,148,3,3,-,-,6,15,-,1,2,36,1,1,3,10,9,17,31,2,4,3,4
587,"25201","4210","2","","","","é†âÍåß","ëÂí√és","ñÿåÀ","",442,21,21,-,-,23,52,3,6,19,72,8,8,15,22,19,28,69,10,32,19,16,244,13,13,-,-,20,41,3,5,15,33,2,4,9,10,9,15,19,6,22,10,8,198,8,8,-,-,3,11,-,1,4,39,6,4,6,12,10,13,50,4,10,9,8
588,"25201","4220","2","","","","é†âÍåß","ëÂí√és","çrêÏ","",351,10,10,-,-,17,46,2,4,8,51,4,14,9,23,17,32,58,2,20,19,15,183,6,6,-,-,16,36,2,3,8,19,1,9,7,7,7,11,15,1,12,17,6,168,4,4,-,-,1,10,-,1,-,32,3,5,2,16,10,21,43,1,8,2,9
589,"25201","4230","2","","","","é†âÍåß","ëÂí√és","ëÂï®","",336,12,11,-,-,36,54,1,6,8,40,5,13,12,27,10,10,52,5,14,12,19,173,9,8,-,-,25,33,1,3,6,19,2,9,6,6,3,7,12,4,9,7,12,163,3,3,-,-,11,21,-,3,2,21,3,4,6,21,7,3,40,1,5,5,7
590,"25201","4240","2","","","","é†âÍåß","ëÂí√és","ìÏî‰ó«","",265,29,29,1,-,13,32,1,6,8,41,4,3,10,12,15,13,43,2,17,8,7,141,19,19,1,-,10,22,1,6,7,24,2,2,5,4,4,5,10,1,10,5,3,124,10,10,-,-,3,10,-,-,1,17,2,1,5,8,11,8,33,1,7,3,4
591,"25201","4250","2","","","","é†âÍåß","ëÂí√és","ñkî‰ó«","",675,25,24,2,-,56,89,4,13,15,83,13,11,27,57,36,62,96,3,38,20,25,386,18,17,1,-,46,55,4,11,11,47,10,8,20,25,12,31,29,2,22,16,18,289,7,7,1,-,10,34,-,2,4,36,3,3,7,32,24,31,67,1,16,4,7
592,"25201","4260","2","","","","é†âÍåß","ëÂí√és","ìÏè¨èº","",764,22,22,-,-,57,125,5,13,24,110,12,11,31,62,23,41,108,12,41,24,43,422,15,15,-,-,49,91,5,12,23,51,3,7,22,18,6,16,29,10,22,22,21,342,7,7,-,-,8,34,-,1,1,59,9,4,9,44,17,25,79,2,19,2,22
593,"25201","4270","2","","","","é†âÍåß","ëÂí√és","ñkè¨èº","",464,17,17,4,-,23,68,5,4,13,78,10,8,23,45,17,25,59,8,25,16,16,256,10,10,3,-,20,46,5,4,12,37,5,6,17,15,5,10,12,8,17,14,10,208,7,7,1,-,3,22,-,-,1,41,5,2,6,30,12,15,47,-,8,2,6
594,"25201","4280","2","","","","é†âÍåß","ëÂí√és","òaÁéètì˙","",706,2,2,-,-,41,107,17,24,26,112,27,9,24,41,14,53,107,2,26,51,23,402,1,1,-,-,32,79,17,17,23,53,13,8,19,16,6,24,18,1,15,47,13,304,1,1,-,-,9,28,-,7,3,59,14,1,5,25,8,29,89,1,11,4,10
595,"25201","428001","3","","","","é†âÍåß","ëÂí√és","òaÁéètì˙","ÇPíöñ⁄",216,-,-,-,-,11,32,6,4,7,33,10,2,11,11,1,25,25,-,12,19,7,125,-,-,-,-,7,25,6,3,6,14,7,2,8,4,-,13,3,-,6,16,5,91,-,-,-,-,4,7,-,1,1,19,3,-,3,7,1,12,22,-,6,3,2
596,"25201","428002","3","","","","é†âÍåß","ëÂí√és","òaÁéètì˙","ÇQíöñ⁄",247,1,1,-,-,15,33,8,11,9,47,9,4,9,16,10,16,34,-,7,12,6,140,1,1,-,-,13,23,8,9,9,22,4,4,7,7,4,8,4,-,5,11,1,107,-,-,-,-,2,10,-,2,-,25,5,-,2,9,6,8,30,-,2,1,5
597,"25201","428003","3","","","","é†âÍåß","ëÂí√és","òaÁéètì˙","ÇRíöñ⁄",243,1,1,-,-,15,42,3,9,10,32,8,3,4,14,3,12,48,2,7,20,10,137,-,-,-,-,12,31,3,5,8,17,2,2,4,5,2,3,11,1,4,20,7,106,1,1,-,-,3,11,-,4,2,15,6,1,-,9,1,9,37,1,3,-,3
598,"25202","","1","","","","é†âÍåß","ïFç™és","","",55589,942,917,46,6,3098,15698,279,485,2539,8122,1039,706,1366,3513,1635,2948,6017,433,2952,1535,2230,31527,612,590,36,6,2554,11343,247,363,1998,3685,505,416,920,1279,611,1264,1355,254,1802,1076,1201,24062,330,327,10,-,544,4355,32,122,541,4437,534,290,446,2234,1024,1684,4662,179,1150,459,1029
599,"25202","0010","2","","","","é†âÍåß","ïFç™és","ëDí¨","",159,-,-,-,-,7,28,-,3,3,34,1,4,2,21,7,10,12,3,7,3,14,92,-,-,-,-,5,18,-,2,3,21,1,3,2,11,3,5,1,2,5,2,8,67,-,-,-,-,2,10,-,1,-,13,-,1,-,10,4,5,11,1,2,1,6
600,"25202","001001","3","","","","é†âÍåß","ïFç™és","ëDí¨","",70,-,-,-,-,4,14,-,2,1,12,-,2,1,11,6,3,4,1,3,1,5,43,-,-,-,-,2,9,-,1,1,8,-,2,1,6,3,2,-,1,3,1,3,27,-,-,-,-,2,5,-,1,-,4,-,-,-,5,3,1,4,-,-,-,2
601,"25202","001002","3","","","","é†âÍåß","ïFç™és","ëDí¨","",29,-,-,-,-,-,9,-,-,-,8,1,-,-,-,-,1,5,1,3,-,1,15,-,-,-,-,-,5,-,-,-,4,1,-,-,-,-,1,1,-,2,-,1,14,-,-,-,-,-,4,-,-,-,4,-,-,-,-,-,-,4,1,1,-,-
602,"25202","001003","3","","","","é†âÍåß","ïFç™és","ëDí¨","",60,-,-,-,-,3,5,-,1,2,14,-,2,1,10,1,6,3,1,1,2,8,34,-,-,-,-,3,4,-,1,2,9,-,1,1,5,-,2,-,1,-,1,4,26,-,-,-,-,-,1,-,-,-,5,-,1,-,5,1,4,3,-,1,1,4
603,"25202","0020","2","","","","é†âÍåß","ïFç™és","àÆí¨","",206,-,-,-,-,8,56,1,1,5,26,7,7,9,19,11,12,23,1,8,7,5,114,-,-,-,-,6,41,-,-,3,12,4,5,6,8,2,4,10,-,6,4,3,92,-,-,-,-,2,15,1,1,2,14,3,2,3,11,9,8,13,1,2,3,2
604,"25202","002001","3","","","","é†âÍåß","ïFç™és","àÆí¨","",64,-,-,-,-,3,14,1,1,2,10,1,1,3,2,3,3,13,-,3,1,3,35,-,-,-,-,3,11,-,-,1,5,1,1,2,-,-,-,6,-,3,-,2,29,-,-,-,-,-,3,1,1,1,5,-,-,1,2,3,3,7,-,-,1,1
605,"25202","002002","3","","","","é†âÍåß","ïFç™és","àÆí¨","",44,-,-,-,-,5,8,-,-,2,5,-,3,2,8,-,2,6,-,1,1,1,22,-,-,-,-,3,6,-,-,1,1,-,2,1,3,-,1,2,-,1,-,1,22,-,-,-,-,2,2,-,-,1,4,-,1,1,5,-,1,4,-,-,1,-
606,"25202","002003","3","","","","é†âÍåß","ïFç™és","àÆí¨","",98,-,-,-,-,-,34,-,-,1,11,6,3,4,9,8,7,4,1,4,5,1,57,-,-,-,-,-,24,-,-,1,6,3,2,3,5,2,3,2,-,2,4,-,41,-,-,-,-,-,10,-,-,-,5,3,1,1,4,6,4,2,1,2,1,1
607,"25202","0030","2","","","","é†âÍåß","ïFç™és","å≥í¨","",33,-,-,-,-,-,5,-,-,-,8,1,-,6,3,-,1,3,-,3,3,-,20,-,-,-,-,-,4,-,-,-,6,-,-,3,2,-,-,1,-,2,2,-,13,-,-,-,-,-,1,-,-,-,2,1,-,3,1,-,1,2,-,1,1,-
608,"25202","0040","2","","","","é†âÍåß","ïFç™és","ëÂìåí¨","",276,1,1,-,-,10,83,-,4,9,37,12,11,8,19,11,14,20,3,10,11,13,141,-,-,-,-,7,60,-,3,7,12,5,7,4,9,3,2,3,1,5,6,7,135,1,1,-,-,3,23,-,1,2,25,7,4,4,10,8,12,17,2,5,5,6
609,"25202","004001","3","","","","é†âÍåß","ïFç™és","ëÂìåí¨","",10,-,-,-,-,-,1,-,-,-,-,-,1,-,5,3,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,-,-,-,-,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-
610,"25202","004002","3","","","","é†âÍåß","ïFç™és","ëÂìåí¨","",201,1,1,-,-,8,63,-,3,7,24,7,6,8,8,7,14,20,2,7,6,10,104,-,-,-,-,5,51,-,2,6,9,2,3,4,3,2,2,3,1,4,3,4,97,1,1,-,-,3,12,-,1,1,15,5,3,4,5,5,12,17,1,3,3,6
611,"25202","004003","3","","","","é†âÍåß","ïFç™és","ëÂìåí¨","",65,-,-,-,-,2,19,-,1,2,13,5,4,-,6,1,-,-,1,3,5,3,32,-,-,-,-,2,9,-,1,1,3,3,3,-,3,-,-,-,-,1,3,3,33,-,-,-,-,-,10,-,-,1,10,2,1,-,3,1,-,-,1,2,2,-
612,"25202","0050","2","","","","é†âÍåß","ïFç™és","ç≤òaí¨","",235,-,-,-,-,7,68,1,3,8,42,4,5,7,25,4,13,16,-,13,10,9,140,-,-,-,-,5,54,1,2,8,21,3,3,3,10,1,5,5,-,9,8,2,95,-,-,-,-,2,14,-,1,-,21,1,2,4,15,3,8,11,-,4,2,7
613,"25202","005001","3","","","","é†âÍåß","ïFç™és","ç≤òaí¨","",47,-,-,-,-,1,13,-,-,2,7,1,2,2,5,-,1,5,-,4,2,2,28,-,-,-,-,1,8,-,-,2,6,-,2,-,1,-,1,1,-,3,2,1,19,-,-,-,-,-,5,-,-,-,1,1,-,2,4,-,-,4,-,1,-,1
614,"25202","005002","3","","","","é†âÍåß","ïFç™és","ç≤òaí¨","",87,-,-,-,-,1,37,-,2,1,10,3,1,3,3,2,7,5,-,5,4,3,55,-,-,-,-,1,31,-,1,1,5,3,-,2,1,-,2,1,-,3,3,1,32,-,-,-,-,-,6,-,1,-,5,-,1,1,2,2,5,4,-,2,1,2
615,"25202","005003","3","","","","é†âÍåß","ïFç™és","ç≤òaí¨","",78,-,-,-,-,5,17,1,1,5,16,-,1,2,8,2,5,4,-,4,4,3,47,-,-,-,-,3,14,1,1,5,7,-,-,1,4,1,2,2,-,3,3,-,31,-,-,-,-,2,3,-,-,-,9,-,1,1,4,1,3,2,-,1,1,3
616,"25202","005004","3","","","","é†âÍåß","ïFç™és","ç≤òaí¨","",23,-,-,-,-,-,1,-,-,-,9,-,1,-,9,-,-,2,-,-,-,1,10,-,-,-,-,-,1,-,-,-,3,-,1,-,4,-,-,1,-,-,-,-,13,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,1,-,-,-,1
617,"25202","0060","2","","","","é†âÍåß","ïFç™és","óßâ‘í¨","",65,-,-,-,-,1,17,-,3,2,18,3,-,2,7,1,4,2,1,1,3,-,35,-,-,-,-,1,11,-,3,2,8,2,-,1,2,-,2,-,1,1,1,-,30,-,-,-,-,-,6,-,-,-,10,1,-,1,5,1,2,2,-,-,2,-
618,"25202","0070","2","","","","é†âÍåß","ïFç™és","ãûí¨","",494,1,1,-,-,22,86,-,5,13,116,15,13,21,40,28,35,46,-,16,17,20,278,-,-,-,-,17,64,-,4,9,58,11,7,13,15,17,15,17,-,13,11,7,216,1,1,-,-,5,22,-,1,4,58,4,6,8,25,11,20,29,-,3,6,13
619,"25202","007001","3","","","","é†âÍåß","ïFç™és","ãûí¨","ÇPíöñ⁄",143,-,-,-,-,7,27,-,2,2,29,4,3,6,13,6,15,14,-,3,8,4,85,-,-,-,-,6,22,-,2,2,15,3,2,3,4,2,7,4,-,2,7,4,58,-,-,-,-,1,5,-,-,-,14,1,1,3,9,4,8,10,-,1,1,-
620,"25202","007002","3","","","","é†âÍåß","ïFç™és","ãûí¨","ÇQíöñ⁄",163,-,-,-,-,6,32,-,2,6,38,8,3,8,12,9,7,17,-,4,3,8,95,-,-,-,-,4,25,-,1,4,22,5,2,6,5,5,3,9,-,4,-,-,68,-,-,-,-,2,7,-,1,2,16,3,1,2,7,4,4,8,-,-,3,8
