1,"ïΩê¨22îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,"25201","0130","2","","","","é†âÍåß","ëÂí√és","à…çÅóßñkç›íní¨","",131,2,7,5,7,2,4,4,9,6,8,3,10,14,11,16,5,6,8,2,1,1,-,14,67,50,23,12,6908,53.2328244275,1,58,-,6,4,3,1,-,1,4,5,5,2,3,6,4,6,3,3,2,-,-,-,-,10,30,18,8,2,2772,48.2931034483,-,73,2,1,1,4,1,4,3,5,1,3,1,7,8,7,10,2,3,6,2,1,1,-,4,37,32,15,10,4136,57.1575342466,1
22,"25201","0140","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ç›íní¨","",296,14,8,7,15,18,19,25,10,6,12,17,36,22,19,16,22,15,12,3,-,-,-,29,180,87,52,15,14305,48.8277027027,-,130,4,3,2,10,7,11,8,7,3,4,7,17,11,9,6,10,6,4,1,-,-,-,9,85,36,21,5,6285,48.8461538462,-,166,10,5,5,5,11,8,17,3,3,8,10,19,11,10,10,12,9,8,2,-,-,-,20,95,51,31,10,8020,48.8132530120,-
23,"25201","0150","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ó¥âÿí¨","",547,13,13,20,32,29,27,19,28,37,34,41,56,43,39,29,32,29,17,8,1,-,-,46,346,155,87,26,26930,49.7321755027,-,280,7,6,11,21,21,16,11,15,16,15,21,33,23,15,12,18,11,6,2,-,-,-,24,192,64,37,8,12970,46.8214285714,-,267,6,7,9,11,8,11,8,13,21,19,20,23,20,24,17,14,18,11,6,1,-,-,22,154,91,50,18,13960,52.7846441948,-
24,"25201","0160","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ó¥âÿí¨","",246,6,7,6,6,8,11,6,12,7,6,11,16,15,12,12,16,28,32,17,10,2,-,19,98,129,105,61,15032,61.6056910569,-,94,2,4,3,2,4,6,2,5,3,4,5,8,9,5,6,5,10,7,3,1,-,-,9,48,37,26,11,5129,55.0638297872,-,152,4,3,3,4,4,5,4,7,4,2,6,8,6,7,6,11,18,25,14,9,2,-,10,50,92,79,50,9903,65.6513157895,-
25,"25201","0170","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìríÜí¨","",179,-,4,6,13,10,4,5,4,9,17,12,11,15,9,13,30,13,2,-,2,-,-,10,100,69,47,4,9606,54.1648044693,-,80,-,1,4,4,2,1,3,2,2,9,6,3,11,4,5,15,8,-,-,-,-,-,5,43,32,23,-,4469,56.3625000000,-,99,-,3,2,9,8,3,2,2,7,8,6,8,4,5,8,15,5,2,-,2,-,-,5,57,37,24,4,5137,52.3888888889,-
26,"25201","0180","2","","","","é†âÍåß","ëÂí√és","ê^ñÏ","",5522,307,326,265,296,316,296,360,498,388,345,365,378,396,297,197,202,130,77,38,12,1,32,898,3638,954,460,128,225281,41.5347905282,52,2673,174,160,137,151,156,122,192,239,187,156,176,183,197,144,92,95,62,25,8,3,-,14,471,1759,429,193,36,106142,40.4180142911,22,2849,133,166,128,145,160,174,168,259,201,189,189,195,199,153,105,107,68,52,30,9,1,18,427,1879,525,267,92,119139,42.5837160014,30
27,"25201","018001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇPíöñ⁄",1133,40,56,45,72,96,61,63,65,60,92,91,79,95,68,36,53,36,16,1,1,-,7,141,774,211,107,18,48052,43.1749555950,15,541,26,22,23,37,48,25,36,25,29,43,45,41,43,35,16,19,18,7,-,-,-,3,71,372,95,44,7,22485,42.2936802974,6,592,14,34,22,35,48,36,27,40,31,49,46,38,52,33,20,34,18,9,1,1,-,4,70,402,116,63,11,25567,43.9812925170,9
28,"25201","018002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇQíöñ⁄",1266,56,64,66,76,81,76,71,113,81,79,96,101,97,77,38,41,23,17,10,-,-,3,186,871,206,91,27,52167,41.8040380048,11,605,37,31,32,39,41,34,36,57,38,33,43,44,51,36,19,16,10,4,1,-,-,3,100,416,86,31,5,23756,39.9617940199,4,661,19,33,34,37,40,42,35,56,43,46,53,57,46,41,19,25,13,13,9,-,-,-,86,455,120,60,22,28411,43.4818456884,7
29,"25201","018003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇRíöñ⁄",107,-,1,4,6,5,8,8,1,5,4,8,10,14,8,3,10,6,5,1,-,-,-,5,69,33,22,6,5552,52.3878504673,1,51,-,-,3,4,3,2,5,-,1,2,3,5,9,2,3,5,2,2,-,-,-,-,3,34,14,9,2,2578,51.0490196078,-,56,-,1,1,2,2,6,3,1,4,2,5,5,5,6,-,5,4,3,1,-,-,-,2,35,19,13,4,2974,53.6071428571,1
30,"25201","018004","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇSíöñ⁄",407,13,19,25,12,21,18,17,34,29,19,33,27,30,32,21,24,14,8,6,4,-,1,57,240,109,56,18,18954,47.1847290640,4,207,8,10,13,6,10,10,12,17,12,6,17,18,17,12,8,14,11,3,1,1,-,1,31,125,50,30,5,9409,46.1747572816,2,200,5,9,12,6,11,8,5,17,17,13,16,9,13,20,13,10,3,5,5,3,-,-,26,115,59,26,13,9545,48.2250000000,2
31,"25201","018005","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇTíöñ⁄",1920,112,111,92,114,96,97,132,166,148,126,110,128,122,91,86,68,45,29,19,7,1,20,315,1239,346,169,56,78103,41.6068421053,16,932,56,62,50,58,47,34,77,82,67,60,55,61,57,46,41,38,18,9,5,2,-,7,168,598,159,72,16,36931,40.4254054054,7,988,56,49,42,56,49,63,55,84,81,66,55,67,65,45,45,30,27,20,14,5,1,13,147,641,187,97,40,41172,42.7276923077,9
32,"25201","018006","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇUíöñ⁄",689,86,75,33,16,17,36,69,119,65,25,27,33,38,21,13,6,6,2,1,-,-,1,194,445,49,15,3,22453,33.1351744186,5,337,47,35,16,7,7,17,26,58,40,12,13,14,20,13,5,3,3,-,1,-,-,-,98,214,25,7,1,10983,33.0905044510,3,352,39,40,17,9,10,19,43,61,25,13,14,19,18,8,8,3,3,2,-,-,-,1,96,231,24,8,2,11470,33.1780626781,2
33,"25201","0240","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","",672,9,22,35,35,25,30,22,42,37,30,25,29,62,50,41,35,38,43,33,20,4,5,66,337,264,173,100,35825,54.2106446777,9,285,8,12,19,15,12,17,10,20,18,11,11,15,28,23,21,14,12,9,5,1,1,3,39,157,86,42,16,13356,47.8617021277,4,387,1,10,16,20,13,13,12,22,19,19,14,14,34,27,20,21,26,34,28,19,3,2,27,180,178,131,84,22469,58.8610389610,5
34,"25201","024001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇPíöñ⁄",499,7,20,32,32,20,26,16,39,35,27,22,25,52,46,35,22,17,11,8,2,-,5,59,294,141,60,21,23309,47.6842105263,6,237,6,11,18,13,10,14,7,19,18,9,11,14,23,20,19,10,8,4,-,-,-,3,35,138,61,22,4,10506,45.3974358974,3,262,1,9,14,19,10,12,9,20,17,18,11,11,29,26,16,12,9,7,8,2,-,2,24,156,80,38,17,12803,49.7423076923,3
35,"25201","024002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇQíöñ⁄",42,-,2,2,3,4,1,3,2,2,3,2,2,5,3,2,2,-,3,1,-,-,-,4,27,11,6,4,1980,47.6428571429,3,18,-,1,-,2,1,1,1,1,-,2,-,1,2,2,-,2,-,1,1,-,-,-,1,11,6,4,2,899,50.4444444444,1,24,-,1,2,1,3,-,2,1,2,1,2,1,3,1,2,-,-,2,-,-,-,-,3,16,5,2,2,1081,45.5416666667,2
36,"25201","024003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇRíöñ⁄",131,2,-,1,-,1,3,3,1,-,-,1,2,5,1,4,11,21,29,24,18,4,-,3,16,112,107,75,10536,80.9274809160,-,30,2,-,1,-,1,2,2,-,-,-,-,-,3,1,2,2,4,4,4,1,1,-,3,8,19,16,10,1951,65.5333333333,-,101,-,-,-,-,-,1,1,1,-,-,1,2,2,-,2,9,17,25,20,17,3,-,-,8,93,91,65,8585,85.5000000000,-
37,"25201","0270","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,"25201","0280","2","","","","é†âÍåß","ëÂí√és","ê^ñÏç≤êÏí¨","",139,2,1,5,11,7,5,3,11,1,9,11,10,15,10,9,12,10,5,2,-,-,-,8,83,48,29,7,7267,52.7805755396,1,65,1,-,2,4,2,3,1,4,-,3,5,8,7,6,4,8,4,3,-,-,-,-,3,37,25,15,3,3582,55.6076923077,-,74,1,1,3,7,5,2,2,7,1,6,6,2,8,4,5,4,6,2,2,-,-,-,5,46,23,14,4,3685,50.2972972973,1
39,"25201","0290","2","","","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","",785,16,33,35,50,54,44,34,56,36,47,69,63,96,47,40,27,21,11,3,-,-,3,84,549,149,62,14,35012,45.2723785166,4,392,7,22,17,25,23,22,20,29,23,21,30,34,45,26,21,16,6,3,-,-,-,2,46,272,72,25,3,17089,44.3179487179,1,393,9,11,18,25,31,22,14,27,13,26,39,29,51,21,19,11,15,8,3,-,-,1,38,277,77,37,11,17923,46.2219387755,3
40,"25201","029001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇPíöñ⁄",763,16,32,29,49,54,44,34,53,32,47,69,63,94,46,38,26,21,10,3,-,-,3,77,539,144,60,13,34147,45.4302631579,4,383,7,21,15,25,23,22,20,28,20,21,30,34,45,26,19,16,6,3,-,-,-,2,43,268,70,25,3,16759,44.4868766404,1,380,9,11,14,24,31,22,14,25,12,26,39,29,49,20,19,10,15,7,3,-,-,1,34,271,74,35,10,17388,46.3786279683,3
41,"25201","029002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇQíöñ⁄",22,-,1,6,1,-,-,-,3,4,-,-,-,2,1,2,1,-,1,-,-,-,-,7,10,5,2,1,865,39.8181818182,-,9,-,1,2,-,-,-,-,1,3,-,-,-,-,-,2,-,-,-,-,-,-,-,3,4,2,-,-,330,37.1666666667,-,13,-,-,4,1,-,-,-,2,1,-,-,-,2,1,-,1,-,1,-,-,-,-,4,6,3,2,1,535,41.6538461538,-
42,"25201","0310","2","","","","é†âÍåß","ëÂí√és","ê^ñÏâ∆ìcí¨","",38,1,1,-,3,1,1,3,-,1,3,2,3,2,1,3,10,1,2,-,-,-,-,2,19,17,13,2,2101,55.7894736842,-,16,-,1,-,1,-,1,1,-,-,2,-,1,1,1,1,5,-,1,-,-,-,-,1,7,8,6,1,915,57.6875000000,-,22,1,-,-,2,1,-,2,-,1,1,2,2,1,-,2,5,1,1,-,-,-,-,1,12,9,7,1,1186,54.4090909091,-
43,"25201","0320","2","","","","é†âÍåß","ëÂí√és","ê^ñÏíJå˚í¨","",167,10,6,10,7,7,8,8,13,14,4,11,9,20,12,10,10,4,3,1,-,-,-,26,101,40,18,4,7511,45.4760479042,-,75,4,3,3,1,5,5,5,4,9,2,5,5,9,5,5,4,1,-,-,-,-,-,10,50,15,5,-,3306,44.5800000000,-,92,6,3,7,6,2,3,3,9,5,2,6,4,11,7,5,6,3,3,1,-,-,-,16,51,25,13,4,4205,46.2065217391,-
44,"25201","0330","2","","","","é†âÍåß","ëÂí√és","å¸ózí¨","",420,8,13,13,17,18,17,18,15,19,26,27,22,51,38,30,37,33,14,3,1,-,-,34,230,156,88,18,22179,53.3071428571,-,202,4,5,5,11,8,6,6,8,11,13,13,12,21,20,14,17,19,6,2,1,-,-,14,109,79,45,9,10857,54.2475247525,-,218,4,8,8,6,10,11,12,7,8,13,14,10,30,18,16,20,14,8,1,-,-,-,20,121,77,43,9,11322,52.4357798165,-
45,"25201","0340","2","","","","é†âÍåß","ëÂí√és","î¸ãÛí¨","",1669,61,50,73,89,67,79,76,108,123,88,102,111,180,127,115,89,53,29,11,2,1,35,184,1023,427,185,43,76755,47.4736842105,41,824,32,19,45,50,34,40,45,51,55,43,43,54,100,57,58,43,21,10,4,-,-,20,96,515,193,78,14,36763,46.2251243781,25,845,29,31,28,39,33,39,31,57,68,45,59,57,80,70,57,46,32,19,7,2,1,15,88,508,234,107,29,39992,48.6831325301,16
46,"25201","0350","2","","","","é†âÍåß","ëÂí√és","â‘âÄí¨","",547,14,20,15,30,21,20,19,29,18,44,28,35,69,47,46,43,30,13,5,-,-,1,49,313,184,91,18,27922,51.6391941392,7,250,9,11,7,19,8,9,7,12,8,14,14,15,32,21,26,18,10,7,2,-,-,1,27,138,84,37,9,12432,50.4277108434,2,297,5,9,8,11,13,11,12,17,10,30,14,20,37,26,20,25,20,6,3,-,-,-,22,175,100,54,9,15490,52.6548821549,5
47,"25201","0360","2","","","","é†âÍåß","ëÂí√és","ê¥ïóí¨","",1099,21,24,41,56,95,66,58,32,42,52,107,129,145,84,41,40,40,18,6,-,1,1,86,782,230,105,25,51812,47.6876138434,4,517,14,11,25,28,39,30,29,13,20,15,47,59,80,45,22,18,12,7,2,-,-,1,50,360,106,39,9,24051,47.1104651163,-,582,7,13,16,28,56,36,29,19,22,37,60,70,65,39,19,22,28,11,4,-,1,-,36,422,124,66,16,27761,48.1993127148,4
48,"25201","0370","2","","","","é†âÍåß","ëÂí√és","ózñæí¨","",918,20,22,35,60,83,60,38,32,35,56,106,110,105,51,34,34,28,7,2,-,-,-,77,685,156,71,9,41389,45.5860566449,2,443,10,7,23,33,43,29,18,14,16,19,49,52,59,30,16,11,10,3,1,-,-,-,40,332,71,25,4,19629,44.8092550790,1,475,10,15,12,27,40,31,20,18,19,37,57,58,46,21,18,23,18,4,1,-,-,-,37,353,85,46,5,21760,46.3105263158,1
