1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ7ï\Å@èZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—1ê¢ë—ìñÇΩÇËêlàı Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,1ê¢ë—ìñÇΩÇËêlàı,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv
16,"25201","0100","2","","","","é†âÍåß","ëÂí√és","à…çÅóßå¸ç›íní¨","",61,60,60,59,-,1,-,-,1,-,198,196,196,194,-,2,-,-,2,-,3.2459016393,3.2666666667,3.2666666667,3.2881355932,-,2.0000000000,-,-,2.0000000000,-
17,"25201","0110","2","","","","é†âÍåß","ëÂí√és","à…çÅóßê∂í√í¨","",76,75,75,73,-,2,-,-,1,-,253,248,248,239,-,9,-,-,5,-,3.3289473684,3.3066666667,3.3066666667,3.2739726027,-,4.5000000000,-,-,5.0000000000,-
18,"25201","0120","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ç›íní¨","",23,23,22,21,-,1,-,1,-,-,65,65,64,60,-,4,-,1,-,-,2.8260869565,2.8260869565,2.9090909091,2.8571428571,-,4.0000000000,-,1.0000000000,-,-
19,"25201","0130","2","","","","é†âÍåß","ëÂí√és","à…çÅóßñkç›íní¨","",42,42,42,42,-,-,-,-,-,-,116,116,116,116,-,-,-,-,-,-,2.7619047619,2.7619047619,2.7619047619,2.7619047619,-,-,-,-,-,-
20,"25201","0140","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ç›íní¨","",91,90,89,75,4,9,1,1,1,-,271,269,268,234,10,21,3,1,2,-,2.9780219780,2.9888888889,3.0112359551,3.1200000000,2.5000000000,2.3333333333,3.0000000000,1.0000000000,2.0000000000,-
21,"25201","0150","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ó¥âÿí¨","",185,185,184,171,8,3,2,1,-,-,469,469,467,443,14,6,4,2,-,-,2.5351351351,2.5351351351,2.5380434783,2.5906432749,1.7500000000,2.0000000000,2.0000000000,2.0000000000,-,-
22,"25201","0160","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ó¥âÿí¨","",44,42,42,41,-,1,-,-,2,-,149,146,146,145,-,1,-,-,3,-,3.3863636364,3.4761904762,3.4761904762,3.5365853659,-,1.0000000000,-,-,1.5000000000,-
23,"25201","0170","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìríÜí¨","",56,54,54,52,-,1,1,-,2,-,148,145,145,142,-,2,1,-,3,-,2.6428571429,2.6851851852,2.6851851852,2.7307692308,-,2.0000000000,1.0000000000,-,1.5000000000,-
24,"25201","0180","2","","","","é†âÍåß","ëÂí√és","í¨íöéöÉRÅ[Éh0180ÇÃåv","",2269,2226,2212,1881,-,319,12,14,42,1,6099,6018,5988,5452,-,521,15,30,76,5,2.6879682680,2.7035040431,2.7070524412,2.8984582669,-,1.6332288401,1.2500000000,2.1428571429,1.8095238095,5.0000000000
25,"25201","018000","3","","","","é†âÍåß","ëÂí√és","éRïSçáÇÃãu","",92,92,92,86,-,6,-,-,-,-,262,262,262,254,-,8,-,-,-,-,2.8478260870,2.8478260870,2.8478260870,2.9534883721,-,1.3333333333,-,-,-,-
26,"25201","018001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇPíöñ⁄",536,525,519,374,-,145,-,6,11,-,1274,1251,1238,1030,-,208,-,13,23,-,2.3768656716,2.3828571429,2.3853564547,2.7540106952,-,1.4344827586,-,2.1666666667,2.0909090909,-
27,"25201","018002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇQíöñ⁄",466,454,451,400,-,49,2,3,12,-,1214,1197,1190,1106,-,82,2,7,17,-,2.6051502146,2.6365638767,2.6385809313,2.7650000000,-,1.6734693878,1.0000000000,2.3333333333,1.4166666667,-
28,"25201","018003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇRíöñ⁄",30,30,30,29,-,1,-,-,-,-,86,86,86,84,-,2,-,-,-,-,2.8666666667,2.8666666667,2.8666666667,2.8965517241,-,2.0000000000,-,-,-,-
29,"25201","018004","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇSíöñ⁄",125,122,122,112,-,9,1,-,3,-,370,360,360,340,-,18,2,-,10,-,2.9600000000,2.9508196721,2.9508196721,3.0357142857,-,2.0000000000,2.0000000000,-,3.3333333333,-
30,"25201","018005","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇTíöñ⁄",734,718,714,604,-,101,9,4,15,1,1999,1969,1961,1755,-,195,11,8,25,5,2.7234332425,2.7423398329,2.7464985994,2.9056291391,-,1.9306930693,1.2222222222,2.0000000000,1.6666666667,5.0000000000
31,"25201","018006","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇUíöñ⁄",286,285,284,276,-,8,-,1,1,-,894,893,891,883,-,8,-,2,1,-,3.1258741259,3.1333333333,3.1373239437,3.1992753623,-,1.0000000000,-,2.0000000000,1.0000000000,-
32,"25201","0240","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","",174,174,172,160,-,12,-,2,-,-,514,514,509,487,-,22,-,5,-,-,2.9540229885,2.9540229885,2.9593023256,3.0437500000,-,1.8333333333,-,2.5000000000,-,-
33,"25201","024001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇPíöñ⁄",155,155,153,141,-,12,-,2,-,-,461,461,456,434,-,22,-,5,-,-,2.9741935484,2.9741935484,2.9803921569,3.0780141844,-,1.8333333333,-,2.5000000000,-,-
34,"25201","024002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇQíöñ⁄",12,12,12,12,-,-,-,-,-,-,35,35,35,35,-,-,-,-,-,-,2.9166666667,2.9166666667,2.9166666667,2.9166666667,-,-,-,-,-,-
35,"25201","024003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇRíöñ⁄",7,7,7,7,-,-,-,-,-,-,18,18,18,18,-,-,-,-,-,-,2.5714285714,2.5714285714,2.5714285714,2.5714285714,-,-,-,-,-,-
36,"25201","0270","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,"25201","0280","2","","","","é†âÍåß","ëÂí√és","ê^ñÏç≤êÏí¨","",42,42,42,42,-,-,-,-,-,-,120,120,120,120,-,-,-,-,-,-,2.8571428571,2.8571428571,2.8571428571,2.8571428571,-,-,-,-,-,-
38,"25201","0290","2","çáéZínàÊÇ†ÇË","","029001;029002","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","",257,256,256,249,-,7,-,-,1,-,720,717,717,695,-,22,-,-,3,-,2.8015564202,2.8007812500,2.8007812500,2.7911646586,-,3.1428571429,-,-,3.0000000000,-
39,"25201","029001","3","îÈìΩínàÊ","0290","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇPíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
40,"25201","029002","3","îÈìΩínàÊ","0290","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇQíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41,"25201","0310","2","","","","é†âÍåß","ëÂí√és","ê^ñÏâ∆ìcí¨","",11,11,11,11,-,-,-,-,-,-,35,35,35,35,-,-,-,-,-,-,3.1818181818,3.1818181818,3.1818181818,3.1818181818,-,-,-,-,-,-
42,"25201","0320","2","","","","é†âÍåß","ëÂí√és","ê^ñÏíJå˚í¨","",51,50,48,48,-,-,-,2,1,-,180,177,170,170,-,-,-,7,3,-,3.5294117647,3.5400000000,3.5416666667,3.5416666667,-,-,-,3.5000000000,3.0000000000,-
43,"25201","0330","2","","","","é†âÍåß","ëÂí√és","å¸ózí¨","",155,154,153,153,-,-,-,1,1,-,410,409,405,405,-,-,-,4,1,-,2.6451612903,2.6558441558,2.6470588235,2.6470588235,-,-,-,4.0000000000,1.0000000000,-
44,"25201","0340","2","","","","é†âÍåß","ëÂí√és","î¸ãÛí¨","",766,766,765,-,751,8,6,1,-,-,1415,1415,1414,-,1390,14,10,1,-,-,1.8472584856,1.8472584856,1.8483660131,-,1.8508655126,1.7500000000,1.6666666667,1.0000000000,-,-
45,"25201","0350","2","","","","é†âÍåß","ëÂí√és","â‘âÄí¨","",201,201,199,194,-,5,-,2,-,-,497,497,490,478,-,12,-,7,-,-,2.4726368159,2.4726368159,2.4623115578,2.4639175258,-,2.4000000000,-,3.5000000000,-,-
46,"25201","0360","2","","","","é†âÍåß","ëÂí√és","ê¥ïóí¨","",395,392,389,387,-,2,-,3,3,-,1050,1044,1038,1033,-,5,-,6,6,-,2.6582278481,2.6632653061,2.6683804627,2.6692506460,-,2.5000000000,-,2.0000000000,2.0000000000,-
47,"25201","0370","2","","","","é†âÍåß","ëÂí√és","ózñæí¨","",305,304,303,296,-,7,-,1,1,-,816,812,809,785,-,24,-,3,4,-,2.6754098361,2.6710526316,2.6699669967,2.6520270270,-,3.4285714286,-,3.0000000000,4.0000000000,-
48,"25201","0380","2","","","","é†âÍåß","ëÂí√és","ê¥òaí¨","",416,415,413,409,-,3,1,2,1,-,1095,1091,1084,1071,-,10,3,7,4,-,2.6322115385,2.6289156627,2.6246973366,2.6185819071,-,3.3333333333,3.0000000000,3.5000000000,4.0000000000,-
49,"25201","0390","2","","","","é†âÍåß","ëÂí√és","óŒí¨","",451,450,447,441,-,6,-,3,1,-,1255,1254,1247,1232,-,15,-,7,1,-,2.7827050998,2.7866666667,2.7897091723,2.7936507937,-,2.5000000000,-,2.3333333333,1.0000000000,-
50,"25201","0400","2","","","","é†âÍåß","ëÂí√és","åòìc","",860,783,779,575,-,161,43,4,77,-,2152,2073,2067,1712,-,293,62,6,79,-,2.5023255814,2.6475095785,2.6534017972,2.9773913043,-,1.8198757764,1.4418604651,1.5000000000,1.0259740260,-
51,"25201","040001","3","","","","é†âÍåß","ëÂí√és","åòìc","ÇPíöñ⁄",743,742,738,574,-,161,3,4,1,-,2019,2016,2010,1711,-,293,6,6,3,-,2.7173620458,2.7169811321,2.7235772358,2.9808362369,-,1.8198757764,2.0000000000,1.5000000000,3.0000000000,-
52,"25201","040002","3","","","","é†âÍåß","ëÂí√és","åòìc","ÇQíöñ⁄",117,41,41,1,-,-,40,-,76,-,133,57,57,1,-,-,56,-,76,-,1.1367521368,1.3902439024,1.3902439024,1.0000000000,-,-,1.4000000000,-,1.0000000000,-
53,"25201","0420","2","","","","é†âÍåß","ëÂí√és","ñ{åòìc","",3752,3729,3714,2350,163,1164,37,15,23,-,8918,8873,8839,6481,293,1986,79,34,45,-,2.3768656716,2.3794582998,2.3799138395,2.7578723404,1.7975460123,1.7061855670,2.1351351351,2.2666666667,1.9565217391,-
54,"25201","042001","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇPíöñ⁄",508,505,503,352,117,33,1,2,3,-,1284,1280,1272,996,215,60,1,8,4,-,2.5275590551,2.5346534653,2.5288270378,2.8295454545,1.8376068376,1.8181818182,1.0000000000,4.0000000000,1.3333333333,-
55,"25201","042002","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇQíöñ⁄",452,447,443,339,-,100,4,4,5,-,1199,1187,1178,990,-,183,5,9,12,-,2.6526548673,2.6554809843,2.6591422122,2.9203539823,-,1.8300000000,1.2500000000,2.2500000000,2.4000000000,-
56,"25201","042003","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇRíöñ⁄",725,721,719,421,46,245,7,2,4,-,1621,1609,1607,1166,78,352,11,2,12,-,2.2358620690,2.2316227462,2.2350486787,2.7695961995,1.6956521739,1.4367346939,1.5714285714,1.0000000000,3.0000000000,-
57,"25201","042004","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇSíöñ⁄",961,954,950,553,-,385,12,4,7,-,2189,2178,2170,1414,-,729,27,8,11,-,2.2778355879,2.2830188679,2.2842105263,2.5569620253,-,1.8935064935,2.2500000000,2.0000000000,1.5714285714,-
58,"25201","042005","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇTíöñ⁄",519,519,517,284,-,229,4,2,-,-,1058,1058,1054,712,-,334,8,4,-,-,2.0385356455,2.0385356455,2.0386847195,2.5070422535,-,1.4585152838,2.0000000000,2.0000000000,-,-
59,"25201","042006","3","","","","é†âÍåß","ëÂí√és","ñ{åòìc","ÇUíöñ⁄",587,583,582,401,-,172,9,1,4,-,1567,1561,1558,1203,-,328,27,3,6,-,2.6695059625,2.6775300172,2.6769759450,3.0000000000,-,1.9069767442,3.0000000000,3.0000000000,1.5000000000,-
60,"25201","0480","2","","","","é†âÍåß","ëÂí√és","àﬂêÏ","",1228,1219,1206,944,11,233,18,13,9,-,2988,2971,2949,2572,17,326,34,22,17,-,2.4332247557,2.4372436423,2.4452736318,2.7245762712,1.5454545455,1.3991416309,1.8888888889,1.6923076923,1.8888888889,-
61,"25201","048001","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇPíöñ⁄",631,631,625,415,-,206,4,6,-,-,1493,1493,1485,1196,-,285,4,8,-,-,2.3660855784,2.3660855784,2.3760000000,2.8819277108,-,1.3834951456,1.0000000000,1.3333333333,-,-
62,"25201","048002","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇQíöñ⁄",414,410,406,390,-,16,-,4,4,-,1072,1063,1055,1033,-,22,-,8,9,-,2.5893719807,2.5926829268,2.5985221675,2.6487179487,-,1.3750000000,-,2.0000000000,2.2500000000,-
63,"25201","048003","3","","","","é†âÍåß","ëÂí√és","àﬂêÏ","ÇRíöñ⁄",183,178,175,139,11,11,14,3,5,-,423,415,409,343,17,19,30,6,8,-,2.3114754098,2.3314606742,2.3371428571,2.4676258993,1.5454545455,1.7272727273,2.1428571429,2.0000000000,1.6000000000,-
64,"25201","0510","2","","","","é†âÍåß","ëÂí√és","ç°åòìc","",1974,1958,1952,1057,-,856,39,6,16,-,4328,4299,4282,2892,-,1329,61,17,29,-,2.1925025329,2.1956077630,2.1936475410,2.7360454115,-,1.5525700935,1.5641025641,2.8333333333,1.8125000000,-
65,"25201","051001","3","","","","é†âÍåß","ëÂí√és","ç°åòìc","ÇPíöñ⁄",247,245,244,168,-,69,7,1,2,-,599,596,595,513,-,75,7,1,3,-,2.4251012146,2.4326530612,2.4385245902,3.0535714286,-,1.0869565217,1.0000000000,1.0000000000,1.5000000000,-
66,"25201","051002","3","","","","é†âÍåß","ëÂí√és","ç°åòìc","ÇQíöñ⁄",1440,1431,1427,684,-,715,28,4,9,-,3067,3053,3040,1844,-,1150,46,13,14,-,2.1298611111,2.1334730957,2.1303433777,2.6959064327,-,1.6083916084,1.6428571429,3.2500000000,1.5555555556,-
67,"25201","051003","3","","","","é†âÍåß","ëÂí√és","ç°åòìc","ÇRíöñ⁄",287,282,281,205,-,72,4,1,5,-,662,650,647,535,-,104,8,3,12,-,2.3066202091,2.3049645390,2.3024911032,2.6097560976,-,1.4444444444,2.0000000000,3.0000000000,2.4000000000,-
68,"25201","0541","2","","","","é†âÍåß","ëÂí√és","ã¬ñÿí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,"25201","0542","2","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","",658,654,649,642,-,6,1,5,4,-,2132,2121,2106,2089,-,14,3,15,11,-,3.2401215805,3.2431192661,3.2449922958,3.2538940810,-,2.3333333333,3.0000000000,3.0000000000,2.7500000000,-
70,"25201","054201","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇPíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,"25201","054202","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇQíöñ⁄",264,262,260,259,-,1,-,2,2,-,854,848,845,842,-,3,-,3,6,-,3.2348484848,3.2366412214,3.2500000000,3.2509652510,-,3.0000000000,-,1.5000000000,3.0000000000,-
72,"25201","054203","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇRíöñ⁄",56,56,55,55,-,-,-,1,-,-,188,188,185,185,-,-,-,3,-,-,3.3571428571,3.3571428571,3.3636363636,3.3636363636,-,-,-,3.0000000000,-,-
73,"25201","054204","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇSíöñ⁄",110,110,109,108,-,-,1,1,-,-,375,375,371,368,-,-,3,4,-,-,3.4090909091,3.4090909091,3.4036697248,3.4074074074,-,-,3.0000000000,4.0000000000,-,-
74,"25201","054205","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇTíöñ⁄",88,88,88,88,-,-,-,-,-,-,293,293,293,293,-,-,-,-,-,-,3.3295454545,3.3295454545,3.3295454545,3.3295454545,-,-,-,-,-,-
75,"25201","054206","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇUíöñ⁄",119,118,117,112,-,5,-,1,1,-,353,350,345,334,-,11,-,5,3,-,2.9663865546,2.9661016949,2.9487179487,2.9821428571,-,2.2000000000,-,5.0000000000,3.0000000000,-
76,"25201","054207","3","","","","é†âÍåß","ëÂí√és","ã¬ñÿ","ÇVíöñ⁄",21,20,20,20,-,-,-,-,1,-,69,67,67,67,-,-,-,-,2,-,3.2857142857,3.3500000000,3.3500000000,3.3500000000,-,-,-,-,2.0000000000,-
77,"25201","0551","2","","","","é†âÍåß","ëÂí√és","óYã’ñk","",876,868,865,587,-,272,6,3,8,-,2298,2283,2279,1824,-,447,8,4,15,-,2.6232876712,2.6301843318,2.6346820809,3.1073253833,-,1.6433823529,1.3333333333,1.3333333333,1.8750000000,-
78,"25201","055101","3","","","","é†âÍåß","ëÂí√és","óYã’ñk","ÇPíöñ⁄",333,331,331,178,-,152,1,-,2,-,842,839,839,566,-,271,2,-,3,-,2.5285285285,2.5347432024,2.5347432024,3.1797752809,-,1.7828947368,2.0000000000,-,1.5000000000,-
79,"25201","055102","3","","","","é†âÍåß","ëÂí√és","óYã’ñk","ÇQíöñ⁄",543,537,534,409,-,120,5,3,6,-,1456,1444,1440,1258,-,176,6,4,12,-,2.6813996317,2.6890130354,2.6966292135,3.0757946210,-,1.4666666667,1.2000000000,1.3333333333,2.0000000000,-
80,"25201","0552","2","","","","é†âÍåß","ëÂí√és","óYã’","",1467,1394,1380,1048,-,292,40,14,73,-,3827,3716,3691,3172,-,458,61,25,111,-,2.6087252897,2.6657101865,2.6746376812,3.0267175573,-,1.5684931507,1.5250000000,1.7857142857,1.5205479452,-
81,"25201","055201","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇPíöñ⁄",137,134,130,105,-,17,8,4,3,-,341,338,332,294,-,27,11,6,3,-,2.4890510949,2.5223880597,2.5538461538,2.8000000000,-,1.5882352941,1.3750000000,1.5000000000,1.0000000000,-
82,"25201","055202","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇQíöñ⁄",161,160,160,123,-,37,-,-,1,-,421,417,417,366,-,51,-,-,4,-,2.6149068323,2.6062500000,2.6062500000,2.9756097561,-,1.3783783784,-,-,4.0000000000,-
83,"25201","055203","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇRíöñ⁄",370,369,365,258,-,105,2,4,1,-,1018,1017,1008,796,-,204,8,9,1,-,2.7513513514,2.7560975610,2.7616438356,3.0852713178,-,1.9428571429,4.0000000000,2.2500000000,1.0000000000,-
84,"25201","055204","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇSíöñ⁄",53,53,52,52,-,-,-,1,-,-,180,180,178,178,-,-,-,2,-,-,3.3962264151,3.3962264151,3.4230769231,3.4230769231,-,-,-,2.0000000000,-,-
85,"25201","055205","3","","","","é†âÍåß","ëÂí√és","óYã’","ÇTíöñ⁄",293,293,292,220,-,70,2,1,-,-,660,660,657,579,-,76,2,3,-,-,2.2525597270,2.2525597270,2.2500000000,2.6318181818,-,1.0857142857,1.0000000000,3.0000000000,-,-
