1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ6ï\Å@ê¢ë—ÇÃâ∆ë∞óﬁå^Åi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—ÇPê¢ë—ìñÇΩÇËêlàıÅi6çŒñ¢ñûÅE18çŒñ¢ñûÅE65çŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êîÅC65çŒà»è„ê¢ë—àıÇÃÇ›ÇÃàÍî ê¢ë—êîãyÇ—3ê¢ë„ê¢ë—Å\ì¡åfÅjÅ|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,ÇPê¢ë—ìñÇΩÇËêlàı,,,,,,,,,,ÅiçƒåfÅjÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj18çŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj65çŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj65çŒà»è„ê¢ë—àıÇÃÇ›ÇÃàÍî ê¢ë—êî,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—
19,"25201","0130","2","","","","é†âÍåß","ëÂí√és","à…çÅóßñkç›íní¨","",42,32,22,9,9,10,-,10,-,10,116,106,57,18,31,49,-,10,-,49,2.7619047619,3.3125000000,2.5909090909,2.0000000000,3.4444444444,4.9000000000,-,1.0000000000,-,4.9000000000,2,2,1,-,1,1,-,-,-,1,8,8,4,-,4,4,-,-,-,4,32,24,14,7,3,10,-,8,-,10,14,6,6,6,-,-,-,8,-,-
20,"25201","0140","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ç›íní¨","",91,75,49,20,18,26,2,14,-,16,271,253,132,40,64,121,4,14,-,88,2.9780219780,3.3733333333,2.6938775510,2.0000000000,3.5555555556,4.6538461538,2.0000000000,1.0000000000,-,5.5000000000,6,6,4,-,3,2,-,-,-,2,13,13,8,-,7,5,-,-,-,4,62,52,27,15,6,25,1,9,-,16,22,13,12,12,-,1,-,9,-,-
21,"25201","0150","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ó¥âÿí¨","",185,124,88,28,40,36,1,60,-,27,469,407,252,56,145,155,2,60,-,128,2.5351351351,3.2822580645,2.8636363636,2.0000000000,3.6250000000,4.3055555556,2.0000000000,1.0000000000,-,4.7407407407,5,5,4,-,4,1,-,-,-,1,22,22,13,-,9,9,-,-,-,9,107,76,43,14,17,33,1,30,-,27,42,12,11,11,-,1,-,30,-,-
22,"25201","0160","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ó¥âÿí¨","",44,39,22,9,8,17,-,5,-,16,149,144,54,18,26,90,-,5,-,87,3.3863636364,3.6923076923,2.4545454545,2.0000000000,3.2500000000,5.2941176471,-,1.0000000000,-,5.4375000000,1,1,-,-,-,1,-,-,-,1,13,13,1,-,-,12,-,-,-,12,33,30,14,7,4,16,-,3,-,15,6,3,3,3,-,-,-,3,-,-
23,"25201","0170","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìríÜí¨","",56,42,26,17,6,16,1,13,-,8,148,127,60,34,19,67,8,13,-,40,2.6428571429,3.0238095238,2.3076923077,2.0000000000,3.1666666667,4.1875000000,8.0000000000,1.0000000000,-,5.0000000000,-,-,-,-,-,-,-,-,-,-,4,3,1,-,1,2,1,-,-,2,46,37,21,16,4,16,1,8,-,8,26,18,15,15,-,3,-,8,-,-
24,"25201","0180","2","","","","é†âÍåß","ëÂí√és","í¨íöéöÉRÅ[Éh0180ÇÃåv","",2269,1751,1569,476,913,182,18,499,1,122,6099,5549,4760,952,3363,789,49,499,2,617,2.6879682680,3.1690462593,3.0337794774,2.0000000000,3.6834611172,4.3351648352,2.7222222222,1.0000000000,2.0000000000,5.0573770492,342,341,315,-,305,26,1,-,-,27,724,722,643,-,595,79,2,-,-,79,742,578,427,244,116,151,5,159,-,104,346,184,177,177,-,7,3,159,-,-
25,"25201","018000","3","","","","é†âÍåß","ëÂí√és","éRïSçáÇÃãu","",92,81,76,24,51,5,1,10,-,2,262,249,230,48,179,19,3,10,-,9,2.8478260870,3.0740740741,3.0263157895,2.0000000000,3.5098039216,3.8000000000,3.0000000000,1.0000000000,-,4.5000000000,39,39,38,-,38,1,-,-,-,1,48,48,46,-,45,2,-,-,-,2,6,5,2,2,-,3,-,1,-,1,2,1,1,1,-,-,-,1,-,-
26,"25201","018001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇPíöñ⁄",536,355,320,107,171,35,5,175,1,21,1274,1086,933,214,617,153,11,175,2,114,2.3768656716,3.0591549296,2.9156250000,2.0000000000,3.6081871345,4.3714285714,2.2000000000,1.0000000000,2.0000000000,5.4285714286,57,57,54,-,51,3,-,-,-,3,120,120,106,-,96,14,-,-,-,14,179,133,104,61,23,29,-,46,-,18,95,49,48,48,-,1,-,46,-,-
27,"25201","018002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇQíöñ⁄",466,373,333,114,173,40,2,91,-,28,1214,1119,959,228,621,160,4,91,-,129,2.6051502146,3.0000000000,2.8798798799,2.0000000000,3.5895953757,4.0000000000,2.0000000000,1.0000000000,-,4.6071428571,50,50,45,-,41,5,-,-,-,5,126,126,107,-,94,19,-,-,-,18,167,137,105,63,27,32,2,28,-,24,74,44,41,41,-,3,2,28,-,-
28,"25201","018003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇRíöñ⁄",30,27,21,10,8,6,-,3,-,3,86,83,57,20,28,26,-,3,-,14,2.8666666667,3.0740740741,2.7142857143,2.0000000000,3.5000000000,4.3333333333,-,1.0000000000,-,4.6666666667,-,-,-,-,-,-,-,-,-,-,3,3,2,-,1,1,-,-,-,1,22,20,15,9,5,5,-,2,-,3,10,8,7,7,-,1,-,2,-,-
29,"25201","018004","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇSíöñ⁄",125,100,71,22,42,29,-,25,-,19,370,345,213,44,152,132,-,25,-,102,2.9600000000,3.4500000000,3.0000000000,2.0000000000,3.6190476190,4.5517241379,-,1.0000000000,-,5.3684210526,10,10,8,-,8,2,-,-,-,2,33,33,20,-,18,13,-,-,-,13,72,60,33,18,11,27,-,12,-,19,25,13,12,12,-,1,-,12,-,-
30,"25201","018005","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇTíöñ⁄",734,554,498,144,288,56,10,170,-,42,1999,1798,1542,288,1088,256,31,170,-,217,2.7234332425,3.2454873646,3.0963855422,2.0000000000,3.7777777778,4.5714285714,3.1000000000,1.0000000000,-,5.1666666667,112,111,98,-,97,13,1,-,-,14,237,235,209,-,193,26,2,-,-,27,240,176,131,71,35,45,3,61,-,33,118,56,56,56,-,-,1,61,-,-
31,"25201","018006","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇUíöñ⁄",286,261,250,55,180,11,-,25,-,7,894,869,826,110,678,43,-,25,-,32,3.1258741259,3.3295019157,3.3040000000,2.0000000000,3.7666666667,3.9090909091,-,1.0000000000,-,4.5714285714,74,74,72,-,70,2,-,-,-,2,157,157,153,-,148,4,-,-,-,4,56,47,37,20,15,10,-,9,-,6,22,13,12,12,-,1,-,9,-,-
32,"25201","0240","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","",174,142,104,30,49,38,1,31,-,26,514,480,307,60,187,173,3,31,-,133,2.9540229885,3.3802816901,2.9519230769,2.0000000000,3.8163265306,4.5526315789,3.0000000000,1.0000000000,-,5.1153846154,11,11,7,-,7,4,-,-,-,4,39,39,29,-,22,10,-,-,-,10,115,93,58,23,19,35,1,21,-,24,46,25,23,21,-,2,-,21,-,-
33,"25201","024001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇPíöñ⁄",155,126,90,24,44,36,-,29,-,24,461,432,269,48,168,163,-,29,-,123,2.9741935484,3.4285714286,2.9888888889,2.0000000000,3.8181818182,4.5277777778,-,1.0000000000,-,5.1250000000,11,11,7,-,7,4,-,-,-,4,37,37,27,-,21,10,-,-,-,10,102,82,49,18,16,33,-,20,-,22,41,21,19,17,-,2,-,20,-,-
34,"25201","024002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇQíöñ⁄",12,10,8,4,2,2,1,1,-,2,35,31,21,8,9,10,3,1,-,10,2.9166666667,3.1000000000,2.6250000000,2.0000000000,4.5000000000,5.0000000000,3.0000000000,1.0000000000,-,5.0000000000,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,7,6,4,3,-,2,1,-,-,2,3,3,3,3,-,-,-,-,-,-
35,"25201","024003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇRíöñ⁄",7,6,6,2,3,-,-,1,-,-,18,17,17,4,10,-,-,1,-,-,2.5714285714,2.8333333333,2.8333333333,2.0000000000,3.3333333333,-,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,6,5,5,2,3,-,-,1,-,-,2,1,1,1,-,-,-,1,-,-
36,"25201","0270","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,"25201","0280","2","","","","é†âÍåß","ëÂí√és","ê^ñÏç≤êÏí¨","",42,33,21,7,11,12,-,9,-,10,120,111,58,14,37,53,-,9,-,48,2.8571428571,3.3636363636,2.7619047619,2.0000000000,3.3636363636,4.4166666667,-,1.0000000000,-,4.8000000000,2,2,2,-,2,-,-,-,-,-,5,5,3,-,3,2,-,-,-,2,31,27,15,7,5,12,-,4,-,10,11,7,6,6,-,1,-,4,-,-
38,"25201","0290","2","çáéZínàÊÇ†ÇË","","029001;029002","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","",257,208,175,54,95,33,-,49,-,27,720,671,507,108,335,164,-,49,-,142,2.8015564202,3.2259615385,2.8971428571,2.0000000000,3.5263157895,4.9696969697,-,1.0000000000,-,5.2592592593,18,18,12,-,12,6,-,-,-,6,50,50,34,-,32,16,-,-,-,16,137,112,84,36,36,28,-,25,-,22,51,26,26,25,-,-,-,25,-,-
